Op,None,None,None,None,None
QLinearMatMul,Failed!,Failed!,Failed!,Failed!,Failed!
QuantizeLinear,Failed!,Failed!,Failed!,Failed!,Failed!
RNN,Failed!,Failed!,Failed!,Failed!,Failed!
RandomNormal,Failed!,Failed!,Failed!,Failed!,Failed!
RandomNormalLike,Failed!,Failed!,Failed!,Failed!,Failed!
RandomUniform,Failed!,Failed!,Failed!,Failed!,Failed!
RandomUniformLike,Failed!,Failed!,Failed!,Failed!,Failed!
Reciprocal,Passed!,Passed!,Passed!,Passed!,Passed!
ReduceL1,Passed!,Passed!,Passed!,Passed!,Passed!
ReduceL2,Passed!,Passed!,Passed!,Passed!,Passed!
ReduceLogSum,Failed!,Failed!,Failed!,Failed!,Failed!
ReduceLogSumExp,Failed!,Failed!,Failed!,Failed!,Failed!
ReduceMax,Passed!,Passed!,Passed!,Passed!,Passed!
ReduceMean,Passed!,Passed!,Passed!,Passed!,Passed!
ReduceMin,Passed!,Passed!,Passed!,Passed!,Passed!
ReduceProd,Failed!,Failed!,Failed!,Failed!,Failed!
ReduceSum,Passed!,Passed!,Passed!,Passed!,Passed!
ReduceSumSquare,Failed!,Failed!,Failed!,Failed!,Failed!
Relu,Passed!,Passed!,Passed!,Passed!,Passed!
Reshape,Passed!,Passed!,Passed!,Passed!,Passed!
Resize,Failed!,Failed!,Failed!,Failed!,Failed!
ReverseSequence,Failed!,Failed!,Failed!,Failed!,Failed!
RoiAlign,Failed!,Failed!,Failed!,Failed!,Failed!
Scan,Failed!,Failed!,Failed!,Failed!,Failed!
Scatter,Failed!,Failed!,Failed!,Failed!,Failed!
Selu,Passed!,Passed!,Passed!,Passed!,Passed!
Shape,Passed!,Passed!,Passed!,Passed!,Passed!
Shrink,Failed!,Failed!,Failed!,Failed!,Failed!
Sigmoid,Passed!,Passed!,Passed!,Passed!,Passed!
Sign,Passed!,Passed!,Passed!,Passed!,Passed!
Sin,Passed!,Passed!,Passed!,Passed!,Passed!
Sinh,Passed!,Passed!,Passed!,Passed!,Passed!
Size,Passed!,Passed!,Passed!,Passed!,Passed!
Slice,Passed!,Passed!,Passed!,Passed!,Passed!
Softmax,Passed!,Passed!,Passed!,Passed!,Passed!
Softplus,Passed!,Passed!,Passed!,Passed!,Passed!
Softsign,Passed!,Passed!,Passed!,Passed!,Passed!
SpaceToDepth,Failed!,Failed!,Failed!,Failed!,Failed!
Split,Passed!,Passed!,Passed!,Passed!,Passed!
Sqrt,Passed!,Passed!,Passed!,Passed!,Passed!
Squeeze,Passed!,Passed!,Passed!,Passed!,Passed!
StringNormalizer,Failed!,Failed!,Failed!,Failed!,Failed!
Sub,Passed!,Passed!,Passed!,Passed!,Passed!
Sum,Passed!,Passed!,Passed!,Passed!,Passed!
Tan,Passed!,Passed!,Passed!,Passed!,Passed!
Tanh,Passed!,Passed!,Passed!,Passed!,Passed!
TfIdfVectorizer,Failed!,Failed!,Failed!,Failed!,Failed!
ThresholdedRelu,Passed!,Passed!,Passed!,Passed!,Passed!
Tile,Passed!,Passed!,Passed!,Passed!,Passed!
TopK,Passed!,Passed!,Passed!,Passed!,Passed!
Transpose,Passed!,Passed!,Passed!,Passed!,Passed!
Unsqueeze,Passed!,Passed!,Passed!,Passed!,Passed!
Upsample,Passed!,Passed!,Passed!,Passed!,Passed!
Where,Passed!,Passed!,Passed!,Passed!,Passed!
Xor,Passed!,Passed!,Passed!,Passed!,Passed!
Summary,90/137 node tests passed,90/137 node tests passed,90/137 node tests passed,90/137 node tests passed,90/137 node tests passed
